Code,Description
A5514,"For diabetics only, multiple density insert, made by direct carving with cam technology from a rectified cad model created from a digitized scan of the patient, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other shaping material, custom fabricated, each"
A6000,Non-contact wound warming wound cover for use with the non-contact wound warming device and warming card
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen"
A6011,"Collagen based wound filler, gel/paste, per gram of collagen"
A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each"
A6022,"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each"
A6023,"Collagen dressing, sterile, size more than 48 sq. in., each"
A6024,"Collagen dressing wound filler, sterile, per 6 inches"
A6025,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each"
A6154,"Wound pouch, each"
A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing"
A6197,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6198,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 48 sq. in., each dressing"
A6199,"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches"
A6203,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6204,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6205,"Composite dressing, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6206,"Contact layer, sterile, 16 sq. in. or less, each dressing"
A6207,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6208,"Contact layer, sterile, more than 48 sq. in., each dressing"
A6209,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6210,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6211,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6212,"Foam dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6213,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6214,"Foam dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6215,"Foam dressing, wound filler, sterile, per gram"
A6216,"Gauze, non-impregnated, non-sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6217,"Gauze, non-impregnated, non-sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6218,"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6219,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6220,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6221,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6222,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6223,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 16 sq. in., but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6224,"Gauze, impregnated with other than water, normal saline, or hydrogel, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6228,"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6229,"Gauze, impregnated, water or normal saline, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6230,"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6231,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size 16 sq. in. or less, each dressing"
A6232,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size greater than 16 sq. in., but less than or equal to 48 sq. in., each dressing"
A6233,"Gauze, impregnated, hydrogel, for direct wound contact, sterile, pad size more than 48 sq. in., each dressing"
A6234,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6235,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6236,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6237,"Hydrocolloid dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6238,"Hydrocolloid dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6239,"Hydrocolloid dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6240,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
A6241,"Hydrocolloid dressing, wound filler, dry form, sterile, per gram"
A6242,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6243,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6244,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6245,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6246,"Hydrogel dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6247,"Hydrogel dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6248,"Hydrogel dressing, wound filler, gel, per fluid ounce"
A6250,"Skin sealants, protectants, moisturizers, ointments, any type, any size"
A6251,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6252,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6253,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6254,"Specialty absorptive dressing, wound cover, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing"
A6255,"Specialty absorptive dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing"
A6256,"Specialty absorptive dressing, wound cover, sterile, pad size more than 48 sq. in., with any size adhesive border, each dressing"
A6257,"Transparent film, sterile, 16 sq. in. or less, each dressing"
A6258,"Transparent film, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing"
A6259,"Transparent film, sterile, more than 48 sq. in., each dressing"
A6260,"Wound cleansers, any type, any size"
A6261,"Wound filler, gel/paste, per fluid ounce, not otherwise specified"
A6262,"Wound filler, dry form, per gram, not otherwise specified"
A6266,"Gauze, impregnated, other than water, normal saline, or zinc paste, sterile, any width, per linear yard"
A6402,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6403,"Gauze, non-impregnated, sterile, pad size more than 16 sq. in. less than or equal to 48 sq. in., without adhesive border, each dressing"
A6404,"Gauze, non-impregnated, sterile, pad size more than 48 sq. in., without adhesive border, each dressing"
A6407,"Packing strips, non-impregnated, sterile, up to 2 inches in width, per linear yard"
A6410,"Eye pad, sterile, each"
A6411,"Eye pad, non-sterile, each"
A6412,"Eye patch, occlusive, each"
A6413,"Adhesive bandage, first-aid type, any size, each"
A6441,"Padding bandage, non-elastic, non-woven/non-knitted, width greater than or equal to three inches and less than five inches, per yard"
A6442,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width less than three inches, per yard"
A6443,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to three inches and less than five inches, per yard"
A6444,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to 5 inches, per yard"
A6445,"Conforming bandage, non-elastic, knitted/woven, sterile, width less than three inches, per yard"
A6446,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to three inches and less than five inches, per yard"
A6447,"Conforming bandage, non-elastic, knitted/woven, sterile, width greater than or equal to five inches, per yard"
A6448,"Light compression bandage, elastic, knitted/woven, width less than three inches, per yard"
A6449,"Light compression bandage, elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard"
A6450,"Light compression bandage, elastic, knitted/woven, width greater than or equal to five inches, per yard"
A6451,"Moderate compression bandage, elastic, knitted/woven, load resistance of 1.25 to 1.34 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard"
A6452,"High compression bandage, elastic, knitted/woven, load resistance greater than or equal to 1.35 foot pounds at 50% maximum stretch, width greater than or equal to three inches and less than five inches, per yard"
A6453,"Self-adherent bandage, elastic, non-knitted/non-woven, width less than three inches, per yard"
A6454,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to three inches and less than five inches, per yard"
A6455,"Self-adherent bandage, elastic, non-knitted/non-woven, width greater than or equal to five inches, per yard"
A6456,"Zinc paste impregnated bandage, non-elastic, knitted/woven, width greater than or equal to three inches and less than five inches, per yard"
A6457,"Tubular dressing with or without elastic, any width, per linear yard"
A6460,"Synthetic resorbable wound dressing, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing"
A6461,"Synthetic resorbable wound dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing"
A6501,"Compression burn garment, bodysuit (head to foot), custom fabricated"
A6502,"Compression burn garment, chin strap, custom fabricated"
A6503,"Compression burn garment, facial hood, custom fabricated"
A6504,"Compression burn garment, glove to wrist, custom fabricated"
A6505,"Compression burn garment, glove to elbow, custom fabricated"
A6506,"Compression burn garment, glove to axilla, custom fabricated"
A6507,"Compression burn garment, foot to knee length, custom fabricated"
A6508,"Compression burn garment, foot to thigh length, custom fabricated"
A6509,"Compression burn garment, upper trunk to waist including arm openings (vest), custom fabricated"
A6510,"Compression burn garment, trunk, including arms down to leg openings (leotard), custom fabricated"
A6511,"Compression burn garment, lower trunk including leg openings (panty), custom fabricated"
A6512,"Compression burn garment, not otherwise classified"
A6513,"Compression burn mask, face and/or neck, plastic or equal, custom fabricated"
A6515,"Gradient compression wrap with adjustable straps, full leg, each, custom"
A6516,"Gradient compression wrap with adjustable straps, foot, each, custom"
A6517,"Gradient compression wrap with adjustable straps, below knee, each, custom"
A6518,"Gradient compression wrap with adjustable straps, arm, each, custom"
A6519,"Gradient compression garment, not otherwise specified, for nighttime use, each"
A6520,"Gradient compression garment, glove, padded, for nighttime use, each"
A6521,"Gradient compression garment, glove, padded, for nighttime use, custom, each"
A6522,"Gradient compression garment, arm, padded, for nighttime use, each"
A6523,"Gradient compression garment, arm, padded, for nighttime use, custom, each"
A6524,"Gradient compression garment, lower leg and foot, padded, for nighttime use, each"
A6525,"Gradient compression garment, lower leg and foot, padded, for nighttime use, custom, each"
A6526,"Gradient compression garment, full leg and foot, padded, for nighttime use, each"
A6527,"Gradient compression garment, full leg and foot, padded, for nighttime use, custom, each"
A6528,"Gradient compression garment, bra, for nighttime use, each"
A6529,"Gradient compression garment, bra, for nighttime use, custom, each"
A6530,"Gradient compression stocking, below knee, 18-30 mmhg, each"
A6531,"Gradient compression stocking, below knee, 30-40 mmhg, used as a surgical dressing, each"
A6532,"Gradient compression stocking, below knee, 40-50 mmhg, used as a surgical dressing, each"
A6533,"Gradient compression stocking, thigh length, 18-30 mmhg, each"
A6534,"Gradient compression stocking, thigh length, 30-40 mmhg, each"
A6535,"Gradient compression stocking, thigh length, 40 mmhg or greater, each"
A6536,"Gradient compression stocking, full length/chap style, 18-30 mmhg, each"
A6537,"Gradient compression stocking, full length/chap style, 30-40 mmhg, each"
A6538,"Gradient compression stocking, full length/chap style, 40 mmhg or greater, each"
A6539,"Gradient compression stocking, waist length, 18-30 mmhg, each"
A6540,"Gradient compression stocking, waist length, 30-40 mmhg, each"
A6541,"Gradient compression stocking, waist length, 40 mmhg or greater, each"
A6544,"Gradient compression stocking, garter belt"
A6545,"Gradient compression wrap, non-elastic, below knee, 30-50 mmhg, used as a surgical dressing, each"
A6549,"Gradient compression garment, not otherwise specified, for daytime use, each"
A6550,"Wound care set, for negative pressure wound therapy electrical pump, includes all supplies and accessories"
A6552,"Gradient compression stocking, below knee, 30-40 mmhg, each"
A6553,"Gradient compression stocking, below knee, 30-40 mmhg, custom, each"
A6554,"Gradient compression stocking, below knee, 40 mmhg or greater, each"
A6555,"Gradient compression stocking, below knee, 40 mmhg or greater, custom, each"
A6556,"Gradient compression stocking, thigh length, 18-30 mmhg, custom, each"
A6557,"Gradient compression stocking, thigh length, 30-40 mmhg, custom, each"
A6558,"Gradient compression stocking, thigh length, 40 mmhg or greater, custom, each"
A6559,"Gradient compression stocking, full length/chap style, 18-30 mmhg, custom, each"
A6560,"Gradient compression stocking, full length/chap style, 30-40 mmhg, custom, each"
A6561,"Gradient compression stocking, full length/chap style, 40 mmhg or greater, custom, each"
A6562,"Gradient compression stocking, waist length, 18-30 mmhg, custom, each"
A6563,"Gradient compression stocking, waist length, 30-40 mmhg, custom, each"
A6564,"Gradient compression stocking, waist length, 40 mmhg or greater, custom, each"
A6565,"Gradient compression gauntlet, custom, each"
A6566,"Gradient compression garment, neck/head, each"
A6567,"Gradient compression garment, neck/head, custom, each"
A6568,"Gradient compression garment, torso and shoulder, each"
A6569,"Gradient compression garment, torso/shoulder, custom, each"
A6570,"Gradient compression garment, genital region, each"
A6571,"Gradient compression garment, genital region, custom, each"
A6572,"Gradient compression garment, toe caps, each"
A6573,"Gradient compression garment, toe caps, custom, each"
A6574,"Gradient compression arm sleeve and glove combination, custom, each"
A6575,"Gradient compression arm sleeve and glove combination, each"
A6576,"Gradient compression arm sleeve, custom, medium weight, each"
A6577,"Gradient compression arm sleeve, custom, heavy weight, each"
A6578,"Gradient compression arm sleeve, each"
A6579,"Gradient compression glove, custom, medium weight, each"
A6580,"Gradient compression glove, custom, heavy weight, each"
A6581,"Gradient compression glove, each"
A6582,"Gradient compression gauntlet, each"
A6583,"Gradient compression wrap with adjustable straps, below knee, each"
A6584,"Gradient compression wrap with adjustable straps, not otherwise specified"
A6585,"Gradient compression wrap with adjustable straps, above knee, each"
A6586,"Gradient compression wrap with adjustable straps, full leg, each"
A6587,"Gradient compression wrap with adjustable straps, foot, each"
A6588,"Gradient compression wrap with adjustable straps, arm, each"
A6589,"Gradient pressure wrap with adjustable straps, bra, each"
A6590,"External urinary catheters; disposable, with wicking material, for use with suction pump, per month"
A6591,"External urinary catheter; non-disposable, for use with suction pump, per month"
A6593,"Accessory for gradient compression garment or wrap with adjustable straps, not-otherwise specified"
A6594,"Gradient compression bandaging supply, bandage liner, lower extremity, any size or length, each"
A6595,"Gradient compression bandaging supply, bandage liner, upper extremity, any size or length, each"
A6596,"Gradient compression bandaging supply, conforming gauze, per linear yard, any width, each"
A6597,"Gradient compression bandage roll, elastic long stretch, linear yard, any width, each"
A6598,"Gradient compression bandage roll, elastic medium stretch, per linear yard, any width, each"
A6599,"Gradient compression bandage roll, inelastic short stretch, per linear yard, any width, each"
A6600,"Gradient compression bandaging supply, high density foam sheet, per 250 square centimeters, each"
A6601,"Gradient compression bandaging supply, high density foam pad, any size or shape, each"
A6602,"Gradient compression bandaging supply, high density foam roll for bandage, per linear yard, any width, each"
A6603,"Gradient compression bandaging supply, low density channel foam sheet, per 250 square centimeters, each"
A6604,"Gradient compression bandaging supply, low density flat foam sheet, per 250 square centimeters, each"
A6605,"Gradient compression bandaging supply, padded foam, per linear yard, any width, each"
A6606,"Gradient compression bandaging supply, padded textile, per linear yard, any width, each"
A6607,"Gradient compression bandaging supply, tubular protective absorption layer, per linear yard, any width, each"
A6608,"Gradient compression bandaging supply, tubular protective absorption padded layer, per linear yard, any width, each"
A6609,"Gradient compression bandaging supply, not otherwise specified"
A6610,"Gradient compression stocking, below knee, 18-30 mmhg, custom, each"
A6611,"Gradient compression wrap with adjustable straps, above knee, each, custom"
A7000,"Canister, disposable, used with suction pump, each"
A7001,"Canister, non-disposable, used with suction pump, each"
A7002,"Tubing, used with suction pump, each"
A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable"
A7004,"Small volume nonfiltered pneumatic nebulizer, disposable"
A7005,"Administration set, with small volume nonfiltered pneumatic nebulizer, non-disposable"
A7006,"Administration set, with small volume filtered pneumatic nebulizer"
A7007,"Large volume nebulizer, disposable, unfilled, used with aerosol compressor"
A7008,"Large volume nebulizer, disposable, prefilled, used with aerosol compressor"
A7009,"Reservoir bottle, non-disposable, used with large volume ultrasonic nebulizer"
A7010,"Corrugated tubing, disposable, used with large volume nebulizer, 100 feet"
A7011,"Corrugated tubing, non-disposable, used with large volume nebulizer, 10 feet
Terminated December 31, 2015."
A7012,"Water collection device, used with large volume nebulizer"
A7013,"Filter, disposable, used with aerosol compressor or ultrasonic generator"
A7014,"Filter, nondisposable, used with aerosol compressor or ultrasonic generator"
A7015,"Aerosol mask, used with dme nebulizer"
A7016,"Dome and mouthpiece, used with small volume ultrasonic nebulizer"
A7017,"Nebulizer, durable, glass or autoclavable plastic, bottle type, not used with oxygen"
A7018,"Water, distilled, used with large volume nebulizer, 1000 ml"
A7020,"Interface for cough stimulating device, includes all components, replacement only"
A7021,"Supplies and accessories for lung expansion airway clearance, continuous high frequency oscillation, and nebulization device (e.g., handset, nebulizer kit, biofilter)"
A7023,"Mechanical allergen particle barrier/inhalation filter, cream, nasal, topical"
A7025,"High frequency chest wall oscillation system vest, replacement for use with patient owned equipment, each"
A7026,"High frequency chest wall oscillation system hose, replacement for use with patient owned equipment, each"
A7027,"Combination oral/nasal mask, used with continuous positive airway pressure device, each"
A7028,"Oral cushion for combination oral/nasal mask, replacement only, each"
A7029,"Nasal pillows for combination oral/nasal mask, replacement only, pair"
A7030,"Full face mask used with positive airway pressure device, each"
A7031,"Face mask interface, replacement for full face mask, each"
A7032,"Cushion for use on nasal mask interface, replacement only, each"
A7033,"Pillow for use on nasal cannula type interface, replacement only, pair"
A7034,"Nasal interface (mask or cannula type) used with positive airway pressure device, with or without head strap"
A7035,Headgear used with positive airway pressure device
A7036,Chinstrap used with positive airway pressure device
A7037,Tubing used with positive airway pressure device
A7038,"Filter, disposable, used with positive airway pressure device"
A7039,"Filter, non disposable, used with positive airway pressure device"
A7040,One way chest drain valve
A7041,Water seal drainage container and tubing for use with implanted chest tube
A7042,"Implanted pleural catheter, each
Terminated December 31, 2014."
A7043,"Vacuum drainage bottle and tubing for use with implanted catheter
Terminated December 31, 2014."
A7044,"Oral interface used with positive airway pressure device, each"
A7045,"Exhalation port with or without swivel used with accessories for positive airway devices, replacement only"
A7046,"Water chamber for humidifier, used with positive airway pressure device, replacement, each"
A7047,"Oral interface used with respiratory suction pump, each"
A7048,"Vacuum drainage collection unit and tubing kit, including all supplies needed for collection unit change, for use with implanted catheter, each"
A7049,Expiratory positive airway pressure intranasal resistance valve
A7501,"Tracheostoma valve, including diaphragm, each"
A7502,"Replacement diaphragm/faceplate for tracheostoma valve, each"
A7503,"Filter holder or filter cap, reusable, for use in a tracheostoma heat and moisture exchange system, each"
A7504,"Filter for use in a tracheostoma heat and moisture exchange system, each"
A7505,"Housing, reusable without adhesive, for use in a heat and moisture exchange system and/or with a tracheostoma valve, each"
A7506,"Adhesive disc for use in a heat and moisture exchange system and/or with tracheostoma valve, any type each"
A7507,"Filter holder and integrated filter without adhesive, for use in a tracheostoma heat and moisture exchange system, each"
A7508,"Housing and integrated adhesive, for use in a tracheostoma heat and moisture exchange system and/or with a tracheostoma valve, each"
A7509,"Filter holder and integrated filter housing, and adhesive, for use as a tracheostoma heat and moisture exchange system, each"
A7520,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each"
A7521,"Tracheostomy/laryngectomy tube, cuffed, polyvinylchloride (pvc), silicone or equal, each"
A7522,"Tracheostomy/laryngectomy tube, stainless steel or equal (sterilizable and reusable), each"
A7523,"Tracheostomy shower protector, each"
A7524,"Tracheostoma stent/stud/button, each"
A7525,"Tracheostomy mask, each"
A7526,"Tracheostomy tube collar/holder, each"
A7527,"Tracheostomy/laryngectomy tube plug/stop, each"
A8000,"Helmet, protective, soft, prefabricated, includes all components and accessories"
A8001,"Helmet, protective, hard, prefabricated, includes all components and accessories"
A8002,"Helmet, protective, soft, custom fabricated, includes all components and accessories"
A8003,"Helmet, protective, hard, custom fabricated, includes all components and accessories"
A8004,"Soft interface for helmet, replacement only"
A9150,Non-prescription drugs
A9152,"Single vitamin/mineral/trace element, oral, per dose, not otherwise specified"
A9153,"Multiple vitamins, with or without minerals and trace elements, oral, per dose, not otherwise specified"
A9154,"Artificial saliva, 1 ml"
A9155,"Artificial saliva, 30 ml
Terminated March 31, 2025."
A9156,"Oral mucoadhesive, any type (liquid, gel, paste, etc.), per 1 ml"
A9180,"Pediculosis (lice infestation) treatment, topical, for administration by patient/caretaker"
A9268,"Programmer for transient, orally ingested capsule"
A9269,"Programable, transient, orally ingested capsule, for use with external programmer, per month"
A9270,Non-covered item or service
A9272,"Wound suction, disposable, includes dressing, all accessories and components, any type, each"
A9273,"Cold or hot fluid bottle, ice cap or collar, heat and/or cold wrap, any type"
A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories"
A9275,"Home glucose disposable monitor, includes test strips"
A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with non-durable medical equipment interstitial continuous glucose monitoring system, one unit = 1 day supply"
A9277,"Transmitter; external, for use with non-durable medical equipment interstitial continuous glucose monitoring system"
A9278,"Receiver (monitor); external, for use with non-durable medical equipment interstitial continuous glucose monitoring system"
A9279,"Monitoring feature/device, stand-alone or integrated, any type, includes all accessories, components and electronics, not otherwise classified"
A9280,"Alert or alarm device, not otherwise classified"
A9281,"Reaching/grabbing device, any type, any length, each"
A9282,"Wig, any type, each"
A9283,"Foot pressure off loading/supportive device, any type, each"
A9284,"Spirometer, non-electronic, includes all accessories"
A9285,Inversion/eversion correction device
A9286,"Hygienic item or device, disposable or non-disposable, any type, each"
A9291,"Prescription digital cognitive and/or behavioral therapy, fda cleared, per course of treatment"
A9292,"Prescription digital visual therapy, software-only, fda cleared, per course of treatment"
A9293,"Fertility cycle (contraception & conception) tracking software application, fda cleared, per month, includes accessories (e.g., thermometer)"
A9300,Exercise equipment
A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose"
A9501,"Technetium tc-99m teboroxime, diagnostic, per study dose"
A9502,"Technetium tc-99m tetrofosmin, diagnostic, per study dose"
A9503,"Technetium tc-99m medronate, diagnostic, per study dose, up to 30 millicuries"
A9504,"Technetium tc-99m apcitide, diagnostic, per study dose, up to 20 millicuries"
A9505,"Thallium tl-201 thallous chloride, diagnostic, per millicurie"
A9506,"Graphite crucible for preparation of technetium tc 99m-labeled carbon aerosol, one crucible"
A9507,"Indium in-111 capromab pendetide, diagnostic, per study dose, up to 10 millicuries"
A9508,"Iodine i-131 iobenguane sulfate, diagnostic, per 0.5 millicurie"
A9509,"Iodine i-123 sodium iodide, diagnostic, per millicurie"
A9510,"Technetium tc-99m disofenin, diagnostic, per study dose, up to 15 millicuries"
A9512,"Technetium tc-99m pertechnetate, diagnostic, per millicurie"
A9513,"Lutetium lu 177, dotatate, therapeutic, 1 millicurie"
A9515,"Choline c-11, diagnostic, per study dose up to 20 millicuries"
A9516,"Iodine i-123 sodium iodide, diagnostic, per 100 microcuries, up to 999 microcuries"
A9517,"Iodine i-131 sodium iodide capsule(s), therapeutic, per millicurie"
A9520,"Technetium tc-99m tilmanocept, diagnostic, up to 0.5 millicuries"
A9521,"Technetium tc-99m exametazime, diagnostic, per study dose, up to 25 millicuries"
A9524,"Iodine i-131 iodinated serum albumin, diagnostic, per 5 microcuries"
A9526,"Nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries"
A9527,"Iodine i-125, sodium iodide solution, therapeutic, per millicurie"
A9528,"Iodine i-131 sodium iodide capsule(s), diagnostic, per millicurie"
A9529,"Iodine i-131 sodium iodide solution, diagnostic, per millicurie"
A9530,"Iodine i-131 sodium iodide solution, therapeutic, per millicurie"
A9531,"Iodine i-131 sodium iodide, diagnostic, per microcurie (up to 100 microcuries)"
A9532,"Iodine i-125 serum albumin, diagnostic, per 5 microcuries"
A9536,"Technetium tc-99m depreotide, diagnostic, per study dose, up to 35 millicuries"
A9537,"Technetium tc-99m mebrofenin, diagnostic, per study dose, up to 15 millicuries"
A9538,"Technetium tc-99m pyrophosphate, diagnostic, per study dose, up to 25 millicuries"
A9539,"Technetium tc-99m pentetate, diagnostic, per study dose, up to 25 millicuries"
A9540,"Technetium tc-99m macroaggregated albumin, diagnostic, per study dose, up to 10 millicuries"
A9541,"Technetium tc-99m sulfur colloid, diagnostic, per study dose, up to 20 millicuries"
A9542,"Indium in-111 ibritumomab tiuxetan, diagnostic, per study dose, up to 5 millicuries"
A9543,"Yttrium y-90 ibritumomab tiuxetan, therapeutic, per treatment dose, up to 40 millicuries"
A9544,"Iodine i-131 tositumomab, diagnostic, per study dose
Terminated December 31, 2016."
A9545,"Iodine i-131 tositumomab, therapeutic, per treatment dose
Terminated December 31, 2016."
A9546,"Cobalt co-57/58, cyanocobalamin, diagnostic, per study dose, up to 1 microcurie"
A9547,"Indium in-111 oxyquinoline, diagnostic, per 0.5 millicurie"
A9548,"Indium in-111 pentetate, diagnostic, per 0.5 millicurie"
A9550,"Technetium tc-99m sodium gluceptate, diagnostic, per study dose, up to 25 millicurie"
A9551,"Technetium tc-99m succimer, diagnostic, per study dose, up to 10 millicuries"
A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries"
A9553,"Chromium cr-51 sodium chromate, diagnostic, per study dose, up to 250 microcuries"
A9554,"Iodine i-125 sodium iothalamate, diagnostic, per study dose, up to 10 microcuries"
A9555,"Rubidium rb-82, diagnostic, per study dose, up to 60 millicuries"
A9556,"Gallium ga-67 citrate, diagnostic, per millicurie"
A9557,"Technetium tc-99m bicisate, diagnostic, per study dose, up to 25 millicuries"
A9558,"Xenon xe-133 gas, diagnostic, per 10 millicuries"
A9559,"Cobalt co-57 cyanocobalamin, oral, diagnostic, per study dose, up to 1 microcurie"
A9560,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries"
A9561,"Technetium tc-99m oxidronate, diagnostic, per study dose, up to 30 millicuries"
A9562,"Technetium tc-99m mertiatide, diagnostic, per study dose, up to 15 millicuries"
A9563,"Sodium phosphate p-32, therapeutic, per millicurie"
A9564,"Chromic phosphate p-32 suspension, therapeutic, per millicurie"
A9566,"Technetium tc-99m fanolesomab, diagnostic, per study dose, up to 25 millicuries"
A9567,"Technetium tc-99m pentetate, diagnostic, aerosol, per study dose, up to 75 millicuries"
A9568,"Technetium tc-99m arcitumomab, diagnostic, per study dose, up to 45 millicuries"
A9569,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic, per study dose"
A9570,"Indium in-111 labeled autologous white blood cells, diagnostic, per study dose"
A9571,"Indium in-111 labeled autologous platelets, diagnostic, per study dose"
A9572,"Indium in-111 pentetreotide, diagnostic, per study dose, up to 6 millicuries"
A9573,"Injection, gadopiclenol, 1 ml"
A9575,"Injection, gadoterate meglumine, 0.1 ml"
A9576,"Injection, gadoteridol, (prohance multipack), per ml"
A9577,"Injection, gadobenate dimeglumine (multihance), per ml"
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml"
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml"
A9580,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries"
A9581,"Injection, gadoxetate disodium, 1 ml"
