Code,Description
F42.8,Other obsessive-compulsive disorders
F42.9,"Obsessive-compulsive disorder, unspecified"
F43,"Reaction to severe stress, and adjustment disorders Definition This category differs from others in that it includes disorders identifiable on the basis of not only symptoms and course but also the existence of one or other of two causative influences"
F43.0,"Acute stress reaction Definition A transient disorder that develops in an individual without any other apparent mental disorder in response to exceptional physical and mental stress and that usually subsides within hours or days. Individual vulnerability and coping capacity play a role in the occurrence and severity of acute stress reactions. The symptoms show a typically mixed and changing picture and include an initial state of ""daze"" with some constriction of the field of consciousness and narrowing of attention, inability to comprehend stimuli, and disorientation. This state may be followed either by further withdrawal from the surrounding situation (to the extent of a dissociative stupor - F44.2), or by agitation and over-activity (flight reaction or fugue). Autonomic signs of panic anxiety (tachycardia, sweating, flushing) are commonly present. The symptoms usually appear within minutes of the impact of the stressful stimulus or event, and disappear within two to three days (often within hours). Partial or complete amnesia (F44.0) for the episode may be present. If the symptoms persist, a change in diagnosis should be considered."
F43.1,"Post-traumatic stress disorder Definition Arises as a delayed or protracted response to a stressful event or situation (of either brief or long duration) of an exceptionally threatening or catastrophic nature, which is likely to cause pervasive distress in almost anyone. Predisposing factors, such as personality traits (e.g. compulsive, asthenic) or previous history of neurotic illness, may lower the threshold for the development of the syndrome or aggravate its course, but they are neither necessary nor sufficient to explain its occurrence. Typical features include episodes of repeated reliving of the trauma in intrusive memories (""flashbacks""), dreams or nightmares, occurring against the persisting background of a sense of ""numbness"" and emotional blunting, detachment from other people, unresponsiveness to surroundings, anhedonia, and avoidance of activities and situations reminiscent of the trauma. There is usually a state of autonomic hyperarousal with hypervigilance, an enhanced startle reaction, and insomnia. Anxiety and depression are commonly associated with the above symptoms and signs, and suicidal ideation is not infrequent. The onset follows the trauma with a latency period that may range from a few weeks to months. The course is fluctuating but recovery can be expected in the majority of cases. In a small proportion of cases the condition may follow a chronic course over many years, with eventual transition to an enduring personality change (F62.0)."
F43.2,"Adjustment disorders Definition States of subjective distress and emotional disturbance, usually interfering with social functioning and performance, arising in the period of adaptation to a significant life change or a stressful life event. The stressor may have affected the integrity of an individual's social network (bereavement, separation experiences) or the wider system of social supports and values (migration, refugee status), or represented a major developmental transition or crisis (going to school, becoming a parent, failure to attain a cherished personal goal, retirement). Individual predisposition or vulnerability plays an important role in the risk of occurrence and the shaping of the manifestations of adjustment disorders, but it is nevertheless assumed that the condition would not have arisen without the stressor. The manifestations vary and include depressed mood, anxiety or worry (or mixture of these), a feeling of inability to cope, plan ahead, or continue in the present situation, as well as some degree of disability in 9the performance of daily routine. Conduct disorders may be an associated feature, particularly in adolescents. The predominant feature may be a brief or prolonged depressive reaction, or a disturbance of other emotions and conduct."
F43.8,Other reactions to severe stress
F43.9,"Reaction to severe stress, unspecified"
F44,"Dissociative [conversion] disorders Definition The common themes that are shared by dissociative or conversion disorders are a partial or complete loss of the normal integration between memories of the past, awareness of identity and immediate sensations, and control of bodily movements. All types of dissociative disorders tend to remit after a few weeks or months, particularly if their onset is associated with a traumatic life event. More chronic disorders, particularly paralyses and anaesthesias, may develop if the onset is associated with insoluble problems or interpersonal difficulties. These disorders have previously been classified as various types of ""conversion hysteria"". They are presumed to be psychogenic in origin, being associated closely in time with traumatic events, insoluble and intolerable problems, or disturbed relationships. The symptoms often represent the patient's concept of how a physical illness would be manifest. Medical examination and investigation do not reveal the presence of any known physical or neurological disorder. In addition, there is evidence that the loss of function is an expression of emotional conflicts or needs. The symptoms may develop in close relationship to psychological stress, and often appear suddenly. Only disorders of physical functions normally under voluntary control and loss of sensations are included here. Disorders involving pain and other complex physical sensations mediated by the autonomic nervous system are classified under somatization disorder (F45.0). The possibility of the later appearance of serious physical or psychiatric disorders should always be kept in mind."
F44.0,"Dissociative amnesia Definition The main feature is loss of memory, usually of important recent events, that is not due to organic mental disorder, and is too great to be explained by ordinary forgetfulness or fatigue. The amnesia is usually centred on traumatic events, such as accidents or unexpected bereavements, and is usually partial and selective. Complete and generalized amnesia is rare, and is usually part of a fugue (F44.1). If this is the case, the disorder should be classified as such. The diagnosis should not be made in the presence of organic brain disorders, intoxication, or excessive fatigue."
F10,F19 with common fourth character .0
F44.1,"Dissociative fugue Definition Dissociative fugue has all the features of dissociative amnesia, plus purposeful travel beyond the usual everyday range. Although there is amnesia for the period of the fugue, the patient's behaviour during this time may appear completely normal to independent observers."
F44.2,"Dissociative stupor Definition Dissociative stupor is diagnosed on the basis of a profound diminution or absence of voluntary movement and normal responsiveness to external stimuli such as light, noise, and touch, but examination and investigation reveal no evidence of a physical cause. In addition, there is positive evidence of psychogenic causation in the form of recent stressful events or problems."
F44.3,"Trance and possession disorders Definition Disorders in which there is a temporary loss of the sense of personal identity and full awareness of the surroundings. Include here only trance states that are involuntary or unwanted, occurring outside religious or culturally accepted situations."
F44.4,"Dissociative motor disorders Definition In the commonest varieties there is loss of ability to move the whole or a part of a limb or limbs. There may be close resemblance to almost any variety of ataxia, apraxia, akinesia, aphonia, dysarthria, dyskinesia, seizures, or paralysis."
F44.5,"Dissociative convulsions Definition Dissociative convulsions may mimic epileptic seizures very closely in terms of movements, but tongue-biting, bruising due to falling, and incontinence of urine are rare, and consciousness is maintained or replaced by a state of stupor or trance."
F44.6,"Dissociative anaesthesia and sensory loss Definition Anaesthetic areas of skin often have boundaries that make it clear that they are associated with the patient's ideas about bodily functions, rather than medical knowledge. There may be differential loss between the sensory modalities which cannot be due to a neurological lesion. Sensory loss may be accompanied by complaints of paraesthesia. Loss of vision and hearing are rarely total in dissociative disorders."
F44.7,Mixed dissociative [conversion] disorders
F44.8,Other dissociative [conversion] disorders
F44.9,"Dissociative [conversion] disorder, unspecified"
F45,"Somatoform disorders Definition The main feature is repeated presentation of physical symptoms together with persistent requests for medical investigations, in spite of repeated negative findings and reassurances by doctors that the symptoms have no physical basis. If any physical disorders are present, they do not explain the nature and extent of the symptoms or the distress and preoccupation of the patient."
F45.0,"Somatization disorder Definition The main features are multiple, recurrent and frequently changing physical symptoms of at least two years duration. Most patients have a long and complicated history of contact with both primary and specialist medical care services, during which many negative investigations or fruitless exploratory operations may have been carried out. Symptoms may be referred to any part or system of the body. The course of the disorder is chronic and fluctuating, and is often associated with disruption of social, interpersonal, and family behaviour. Short-lived (less than two years) and less striking symptom patterns should be classified under undifferentiated somatoform disorder (F45.1)."
F45.1,"Undifferentiated somatoform disorder Definition When somatoform complaints are multiple, varying and persistent, but the complete and typical clinical picture of somatization disorder is not fulfilled, the diagnosis of undifferentiated somatoform disorder should be considered."
F45.2,"Hypochondriacal disorder Definition The essential feature is a persistent preoccupation with the possibility of having one or more serious and progressive physical disorders. Patients manifest persistent somatic complaints or a persistent preoccupation with their physical appearance. Normal or commonplace sensations and appearances are often interpreted by patients as abnormal and distressing, and attention is usually focused upon only one or two organs or systems of the body. Marked depression and anxiety are often present, and may justify additional diagnoses."
F45.3,"Somatoform autonomic dysfunction Definition Symptoms are presented by the patient as if they were due to a physical disorder of a system or organ that is largely or completely under autonomic innervation and control, i.e. the cardiovascular, gastrointestinal, respiratory and urogenital systems. The symptoms are usually of two types, neither of which indicates a physical disorder of the organ or system concerned. First, there are complaints based upon objective signs of autonomic arousal, such as palpitations, sweating, flushing, tremor, and expression of fear and distress about the possibility of a physical disorder. Second, there are subjective complaints of a nonspecific or changing nature such as fleeting aches and pains, sensations of burning, heaviness, tightness, and feelings of being bloated or distended, which are referred by the patient to a specific organ or system."
F45.4,"Persistent somatoform pain disorder Definition The predominant complaint is of persistent, severe, and distressing pain, which cannot be explained fully by a physiological process or a physical disorder, and which occurs in association with emotional conflict or psychosocial problems that are sufficient to allow the conclusion that they are the main causative influences. The result is usually a marked increase in support and attention, either personal or medical. Pain presumed to be of psychogenic origin occurring during the course of depressive disorders or schizophrenia should not be included here."
F45.8,"Other somatoform disorders Definition Any other disorders of sensation, function and behaviour, not due to physical disorders, which are not mediated through the autonomic nervous system, which are limited to specific systems or parts of the body, and which are closely associated in time with stressful events or problems."
F45.9,"Somatoform disorder, unspecified"
F48,Other neurotic disorders
F48.0,"Neurasthenia Definition Considerable cultural variations occur in the presentation of this disorder, and two main types occur, with substantial overlap. In one type, the main feature is a complaint of increased fatigue after mental effort, often associated with some decrease in occupational performance or coping efficiency in daily tasks. The mental fatiguability is typically described as an unpleasant intrusion of distracting associations or recollections, difficulty in concentrating, and generally inefficient thinking. In the other type, the emphasis is on feelings of bodily or physical weakness and exhaustion after only minimal effort, accompanied by a feeling of muscular aches and pains and inability to relax. In both types a variety of other unpleasant physical feelings is common, such as dizziness, tension headaches, and feelings of general instability. Worry about decreasing mental and bodily well-being, irritability, anhedonia, and varying minor degrees of both depression and anxiety are all common. Sleep is often disturbed in its initial and middle phases but hypersomnia may also be prominent."
F48.1,"Depersonalization-derealization syndrome Definition A rare disorder in which the patient complains spontaneously that his or her mental activity, body, and surroundings are changed in their quality, so as to be unreal, remote, or automatized. Among the varied phenomena of the syndrome, patients complain most frequently of loss of emotions and feelings of estrangement or detachment from their thinking, their body, or the real world. In spite of the dramatic nature of the experience, the patient is aware of the unreality of the change. The sensorium is normal and the capacity for emotional expression intact. Depersonalization-derealization symptoms may occur as part of a diagnosable schizophrenic, depressive, phobic, or obsessive-compulsive disorder. In such cases the diagnosis should be that of the main disorder."
F48.8,Other specified neurotic disorders
F48.9,"Neurotic disorder, unspecified"
F50-,ICD-10 Version
F50,Eating disorders
F50.0,"Anorexia nervosa Definition A disorder characterized by deliberate weight loss, induced and sustained by the patient. It occurs most commonly in adolescent girls and young women, but adolescent boys and young men may also be affected, as may children approaching puberty and older women up to the menopause. The disorder is associated with a specific psychopathology whereby a dread of fatness and flabbiness of body contour persists as an intrusive overvalued idea, and the patients impose a low weight threshold on themselves. There is usually undernutrition of varying severity with secondary endocrine and metabolic changes and disturbances of bodily function. The symptoms include restricted dietary choice, excessive exercise, induced vomiting and purgation, and use of appetite suppressants and diuretics."
F50.1,"Atypical anorexia nervosa Definition Disorders that fulfil some of the features of anorexia nervosa but in which the overall clinical picture does not justify that diagnosis. For instance, one of the key symptoms, such as amenorrhoea or marked dread of being fat, may be absent in the presence of marked weight loss and weight-reducing behaviour. This diagnosis should not be made in the presence of known physical disorders associated with weight loss."
F50.2,"Bulimia nervosa Definition A syndrome characterized by repeated bouts of overeating and an excessive preoccupation with the control of body weight, leading to a pattern of overeating followed by vomiting or use of purgatives. This disorder shares many psychological features with anorexia nervosa, including an overconcern with body shape and weight. Repeated vomiting is likely to give rise to disturbances of body electrolytes and physical complications. There is often, but not always, a history of an earlier episode of anorexia nervosa, the interval ranging from a few months to several years."
F50.3,"Atypical bulimia nervosa Definition Disorders that fulfil some of the features of bulimia nervosa, but in which the overall clinical picture does not justify that diagnosis. For instance, there may be recurrent bouts of overeating and overuse of purgatives without significant weight change, or the typical overconcern about body shape and weight may be absent."
F50.4,"Overeating associated with other psychological disturbances Definition Overeating due to stressful events, such as bereavement, accident, childbirth, etc."
F50.5,"Vomiting associated with other psychological disturbances Definition Repeated vomiting that occurs in dissociative disorders (F44.-) and hypochondriacal disorder (F45.2), and that is not solely due to conditions classified outside this chapter."
F50.8,Other eating disorders
F50.9,"Eating disorder, unspecified"
F51,"Nonorganic sleep disorders Definition In many cases, a disturbance of sleep is one of the symptoms of another disorder, either mental or physical. Whether a sleep disorder in a given patient is an independent condition or simply one of the features of another disorder classified elsewhere, either in this chapter or in others, should be determined on the basis of its clinical presentation and course as well as on the therapeutic considerations and priorities at the time of the consultation. Generally, if the sleep disorder is one of the major complaints and is perceived as a condition in itself, the present code should be used along with other pertinent diagnoses describing the psychopathology and pathophysiology involved in a given case. This category includes only those sleep disorders in which emotional causes are considered to be a primary factor, and which are not due to identifiable physical disorders classified elsewhere."
F51.0,"Nonorganic insomnia Definition A condition of unsatisfactory quantity and/or quality of sleep, which persists for a considerable period of time, including difficulty falling asleep, difficulty staying asleep, or early final wakening. Insomnia is a common symptom of many mental and physical disorders, and should be classified here in addition to the basic disorder only if it dominates the clinical picture."
F51.1,"Nonorganic hypersomnia Definition Hypersomnia is defined as a condition of either excessive daytime sleepiness and sleep attacks (not accounted for by an inadequate amount of sleep) or prolonged transition to the fully aroused state upon awakening. In the absence of an organic factor for the occurrence of hypersomnia, this condition is usually associated with mental disorders."
F51.2,"Nonorganic disorder of the sleep-wake schedule Definition A lack of synchrony between the sleep-wake schedule and the desired sleep-wake schedule for the individual's environment, resulting in a complaint of either insomnia or hypersomnia."
F51.3,"Sleepwalking [somnambulism] Definition A state of altered consciousness in which phenomena of sleep and wakefulness are combined. During a sleepwalking episode the individual arises from bed, usually during the first third of nocturnal sleep, and walks about, exhibiting low levels of awareness, reactivity, and motor skill. Upon awakening, there is usually no recall of the event."
F51.4,"Sleep terrors [night terrors] Definition Nocturnal episodes of extreme terror and panic associated with intense vocalization, motility, and high levels of autonomic discharge. The individual sits up or gets up, usually during the first third of nocturnal sleep, with a panicky scream. Quite often he or she rushes to the door as if trying to escape, although very seldom leaves the room. Recall of the event, if any, is very limited (usually to one or two fragmentary mental images)."
F51.5,"Nightmares Definition Dream experiences loaded with anxiety or fear. There is very detailed recall of the dream content. The dream experience is very vivid and usually includes themes involving threats to survival, security, or self-esteem. Quite often there is a recurrence of the same or similar frightening nightmare themes. During a typical episode there is a degree of autonomic discharge but no appreciable vocalization or body motility. Upon awakening the individual rapidly becomes alert and oriented."
F51.8,Other nonorganic sleep disorders
F51.9,"Nonorganic sleep disorder, unspecified"
F52,"Sexual dysfunction, not caused by organic disorder or disease Definition Sexual dysfunction covers the various ways in which an individual is unable to participate in a sexual relationship as he or she would wish. Sexual response is a psychosomatic process and both psychological and somatic processes are usually involved in the causation of sexual dysfunction."
F52.0,"Lack or loss of sexual desire Definition Loss of sexual desire is the principal problem and is not secondary to other sexual difficulties, such as erectile failure or dyspareunia."
F52.1,Sexual aversion and lack of sexual enjoyment Definition Either the prospect of sexual interaction produces sufficient fear or anxiety that sexual activity is avoided (sexual aversion) or sexual responses occur normally and orgasm is experienced but there is a lack of appropriate pleasure (lack of sexual enjoyment).
F52.2,"Failure of genital response Definition The principal problem in men is erectile dysfunction (difficulty in developing or maintaining an erection suitable for satisfactory intercourse). In women, the principal problem is vaginal dryness or failure of lubrication."
F52.3,Orgasmic dysfunction Definition Orgasm either does not occur or is markedly delayed.
F52.4,Premature ejaculation Definition The inability to control ejaculation sufficiently for both partners to enjoy sexual interaction.
F52.5,"Nonorganic vaginismus Definition Spasm of the pelvic floor muscles that surround the vagina, causing occlusion of the vaginal opening. Penile entry is either impossible or painful."
F52.6,Nonorganic dyspareunia Definition Dyspareunia (or pain during sexual intercourse) occurs in both women and men. It can often be attributed to local pathology and should then properly be categorized under the pathological condition. This category is to be used only if there is no primary nonorganic sexual dysfunction (e.g. vaginismus or vaginal dryness).
F52.7,Excessive sexual drive
F52.8,"Other sexual dysfunction, not caused by organic disorder or disease"
F52.9,"Unspecified sexual dysfunction, not caused by organic disorder or disease"
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified Definition This category includes only mental disorders associated with the puerperium (commencing within six weeks of delivery) that do not meet the criteria for disorders classified elsewhere in this chapter, either because insufficient information is available, or because it is considered that special additional clinical features are present that make their classification elsewhere inappropriate."
F53.0,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F53.1,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F53.8,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified"
F53.9,"Puerperal mental disorder, unspecified"
F54,"Psychological and behavioural factors associated with disorders or diseases classified elsewhere Definition This category should be used to record the presence of psychological or behavioural influences thought to have played a major part in the aetiology of physical disorders which can be classified to other chapters. Any resulting mental disturbances are usually mild, and often prolonged (such as worry, emotional conflict, apprehension) and do not of themselves justify the use of any of the categories in this chapter."
F55,"Abuse of non-dependence-producing substances Definition A wide variety of medicaments and folk remedies may be involved, but the particularly important groups are: (a) psychotropic drugs that do not produce dependence, such as antidepressants, (b) laxatives, and (c) analgesics that may be purchased without medical prescription, such as aspirin and paracetamol. Persistent use of these substances often involves unnecessary contacts with medical professionals or supporting staff, and is sometimes accompanied by harmful physical effects of the substances. Attempts to dissuade or forbid the use of the substance are often met with resistance; for laxatives and analgesics this may be in spite of warnings about (or even the development of) physical harm such as renal dysfunction or electrolyte disturbances. Although it is usually clear that the patient has a strong motivation to take the substance, dependence or withdrawal symptoms do not develop as in the case of the psychoactive substances specified in F10-F19."
F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors
F60-,ICD-10 Version
F60,"Specific personality disorders Definition These are severe disturbances in the personality and behavioural tendencies of the individual; not directly resulting from disease, damage, or other insult to the brain, or from another psychiatric disorder; usually involving several areas of the personality; nearly always associated with considerable personal distress and social disruption; and usually manifest since childhood or adolescence and continuing throughout adulthood."
F60.0,"Paranoid personality disorder Definition Personality disorder characterized by excessive sensitivity to setbacks, unforgiveness of insults; suspiciousness and a tendency to distort experience by misconstruing the neutral or friendly actions of others as hostile or contemptuous; recurrent suspicions, without justification, regarding the sexual fidelity of the spouse or sexual partner; and a combative and tenacious sense of personal rights. There may be excessive self-importance, and there is often excessive self-reference."
F60.1,"Schizoid personality disorder Definition Personality disorder characterized by withdrawal from affectional, social and other contacts with preference for fantasy, solitary activities, and introspection. There is a limited capacity to express feelings and to experience pleasure."
F60.2,"Dissocial personality disorder Definition Personality disorder characterized by disregard for social obligations, and callous unconcern for the feelings of others. There is gross disparity between behaviour and the prevailing social norms. Behaviour is not readily modifiable by adverse experience, including punishment. There is a low tolerance to frustration and a low threshold for discharge of aggression, including violence; there is a tendency to blame others, or to offer plausible rationalizations for the behaviour bringing the patient into conflict with society."
F60.3,"Emotionally unstable personality disorder Definition Personality disorder characterized by a definite tendency to act impulsively and without consideration of the consequences; the mood is unpredictable and capricious. There is a liability to outbursts of emotion and an incapacity to control the behavioural explosions. There is a tendency to quarrelsome behaviour and to conflicts with others, especially when impulsive acts are thwarted or censored. Two types may be distinguished: the impulsive type, characterized predominantly by emotional instability and lack of impulse control, and the borderline type, characterized in addition by disturbances in self-image, aims, and internal preferences, by chronic feelings of emptiness, by intense and unstable interpersonal relationships, and by a tendency to self-destructive behaviour, including suicide gestures and attempts."
F60.4,"Histrionic personality disorder Definition Personality disorder characterized by shallow and labile affectivity, self-dramatization, theatricality, exaggerated expression of emotions, suggestibility, egocentricity, self-indulgence, lack of consideration for others, easily hurt feelings, and continuous seeking for appreciation, excitement and attention."
F60.5,"Anankastic personality disorder Definition Personality disorder characterized by feelings of doubt, perfectionism, excessive conscientiousness, checking and preoccupation with details, stubbornness, caution, and rigidity. There may be insistent and unwelcome thoughts or impulses that do not attain the severity of an obsessive-compulsive disorder."
F60.6,"Anxious [avoidant] personality disorder Definition Personality disorder characterized by feelings of tension and apprehension, insecurity and inferiority. There is a continuous yearning to be liked and accepted, a hypersensitivity to rejection and criticism with restricted personal attachments, and a tendency to avoid certain activities by habitual exaggeration of the potential dangers or risks in everyday situations."
F60.7,"Dependent personality disorder Definition Personality disorder characterized by pervasive passive reliance on other people to make one's major and minor life decisions, great fear of abandonment, feelings of helplessness and incompetence, passive compliance with the wishes of elders and others, and a weak response to the demands of daily life. Lack of vigour may show itself in the intellectual or emotional spheres; there is often a tendency to transfer responsibility to others."
F60.8,Other specific personality disorders
F60.9,"Personality disorder, unspecified"
F61,"Mixed and other personality disorders Definition This category is intended for personality disorders that are often troublesome but do not demonstrate the specific pattern of symptoms that characterize the disorders described in F60.-. As a result they are often more difficult to diagnose than the disorders in F60.-. Examples include: mixed personality disorders with features of several of the disorders in F60.- but without a predominant set of symptoms that would allow a more specific diagnosis troublesome personality changes, not classifiable to F60.- or F62.-, and regarded as secondary to a main diagnosis of a coexisting affective or anxiety disorder."
F62,"Enduring personality changes, not attributable to brain damage and disease Definition Disorders of adult personality and behaviour that have developed in persons with no previous personality disorder following exposure to catastrophic or excessive prolonged stress, or following a severe psychiatric illness. These diagnoses should be made only when there is evidence of a definite and enduring change in a person's pattern of perceiving, relating to, or thinking about the environment and himself or herself. The personality change should be significant and be associated with inflexible and maladaptive behaviour not present before the pathogenic experience. The change should not be a direct manifestation of another mental disorder or a residual symptom of any antecedent mental disorder."
F62.0,"Enduring personality change after catastrophic experience Definition Enduring personality change, present for at least two years, following exposure to catastrophic stress. The stress must be so extreme that it is not necessary to consider personal vulnerability in order to explain its profound effect on the personality. The disorder is characterized by a hostile or distrustful attitude toward the world, social withdrawal, feelings of emptiness or hopelessness, a chronic feeling of ""being on edge"" as if constantly threatened, and estrangement. Post-traumatic stress disorder (F43.1) may precede this type of personality change."
F62.1,"Enduring personality change after psychiatric illness Definition Personality change, persisting for at least two years, attributable to the traumatic experience of suffering from a severe psychiatric illness. The change cannot be explained by a previous personality disorder and should be differentiated from residual schizophrenia and other states of incomplete recovery from an antecedent mental disorder. This disorder is characterized by an excessive dependence on and a demanding attitude towards others; conviction of being changed or stigmatized by the illness, leading to an inability to form and maintain close and confiding personal relationships and to social iso-lation; passivity, reduced interests, and diminished involvement in leisure activities; persistent complaints of being ill, which may be associated with hypochondriacal claims and illness behaviour; dysphoric or labile mood, not due to the presence of a current mental disorder or antecedent mental disorder with residual affective symptoms; and longstanding problems in social and occupational functioning."
F62.8,Other enduring personality changes
F62.9,"Enduring personality change, unspecified"
F63,"Habit and impulse disorders Definition This category includes certain disorders of behaviour that are not classifiable under other categories. They are characterized by repeated acts that have no clear rational motivation, cannot be controlled, and generally harm the patient's own interests and those of other people. The patient reports that the behaviour is associated with impulses to action. The cause of these disorders is not understood and they are grouped together because of broad descriptive similarities, not because they are known to share any other important features."
F63.0,"Pathological gambling Definition The disorder consists of frequent, repeated episodes of gambling that dominate the patient's life to the detriment of social, occupational, material, and family values and commitments."
F63.1,"Pathological fire-setting [pyromania] Definition Disorder characterized by multiple acts of, or attempts at, setting fire to property or other objects, without apparent motive, and by a persistent preoccupation with subjects related to fire and burning. This behaviour is often associated with feelings of increasing tension before the act, and intense excitement immediately afterwards."
F10,"F19, with common fourth character .0"
F63.2,"Pathological stealing [kleptomania] Definition Disorder characterized by repeated failure to resist impulses to steal objects that are not acquired for personal use or monetary gain. The objects may instead be discarded, given away, or hoarded. This behaviour is usually accompanied by an increasing sense of tension before, and a sense of gratification during and immediately after, the act."
F63.3,"Trichotillomania Definition A disorder characterized by noticeable hair-loss due to a recurrent failure to resist impulses to pull out hairs. The hair-pulling is usually preceded by mounting tension and is followed by a sense of relief or gratification. This diagnosis should not be made if there is a pre-existing inflammation of the skin, or if the hair-pulling is in response to a delusion or a hallucination."
F63.8,"Other habit and impulse disorders Definition Other kinds of persistently repeated maladaptive behaviour that are not secondary to a recognized psychiatric syndrome, and in which it appears that the patient is repeatedly failing to resist impulses to carry out the behaviour. There is a prodromal period of tension with a feeling of release at the time of the act."
F63.9,"Habit and impulse disorder, unspecified"
F64,Gender identity disorders
F64.0,"Transsexualism Definition A desire to live and be accepted as a member of the opposite sex, usually accompanied by a sense of discomfort with, or inappropriateness of, one's anatomic sex, and a wish to have surgery and hormonal treatment to make one's body as congruent as possible with one's preferred sex."
F64.1,"Dual-role transvestism Definition The wearing of clothes of the opposite sex for part of the individual's existence in order to enjoy the temporary experience of membership of the opposite sex, but without any desire for a more permanent sex change or associated surgical reassignment, and without sexual excitement accompanying the cross-dressing."
F64.2,"Gender identity disorder of childhood Definition A disorder, usually first manifest during early childhood (and always well before puberty), characterized by a persistent and intense distress about assigned sex, together with a desire to be (or insistence that one is) of the other sex. There is a persistent preoccupation with the dress and activities of the opposite sex and repudiation of the individual's own sex. The diagnosis requires a profound disturbance of the normal gender identity; mere tomboyishness in girls or girlish behaviour in boys is not sufficient. Gender identity disorders in individuals who have reached or are entering puberty should not be classified here but in F66.-."
F64.8,Other gender identity disorders
F64.9,"Gender identity disorder, unspecified"
F65,Disorders of sexual preference
F65.0,"Fetishism Definition Reliance on some non-living object as a stimulus for sexual arousal and sexual gratification. Many fetishes are extensions of the human body, such as articles of clothing or footwear. Other common examples are characterized by some particular texture such as rubber, plastic or leather. Fetish objects vary in their importance to the individual. In some cases they simply serve to enhance sexual excitement achieved in ordinary ways (e.g. having the partner wear a particular garment)."
F65.1,Fetishistic transvestism Definition The wearing of clothes of the opposite sex principally to obtain sexual excitement and to create the appearance of a person of the opposite sex. Fetishistic transvestism is distinguished from transsexual transvestism by its clear association with sexual arousal and the strong desire to remove the clothing once orgasm occurs and sexual arousal declines. It can occur as an earlier phase in the development of transsexualism.
F65.2,"Exhibitionism Definition A recurrent or persistent tendency to expose the genitalia to strangers (usually of the opposite sex) or to people in public places, without inviting or intending closer contact. There is usually, but not invariably, sexual excitement at the time of the exposure and the act is commonly followed by masturbation."
F65.3,"Voyeurism Definition A recurrent or persistent tendency to look at people engaging in sexual or intimate behaviour such as undressing. This is carried out without the observed people being aware, and usually leads to sexual excitement and masturbation."
F65.4,"Paedophilia Definition A sexual preference for children, boys or girls or both, usually of prepubertal or early pubertal age."
F65.5,"Sadomasochism Definition A preference for sexual activity which involves the infliction of pain or humiliation, or bondage. If the subject prefers to be the recipient of such stimulation this is called masochism; if the provider, sadism. Often an individual obtains sexual excitement from both sadistic and masochistic activities."
F65.6,"Multiple disorders of sexual preference Definition Sometimes more than one abnormal sexual preference occurs in one person and there is none of first rank. The most common combination is fetishism, transvestism and sadomasochism."
F65.8,"Other disorders of sexual preference Definition A variety of other patterns of sexual preference and activity, including making obscene telephone calls, rubbing up against people for sexual stimulation in crowded public places, sexual activity with animals, and use of strangulation or anoxia for intensifying sexual excitement."
F65.9,"Disorder of sexual preference, unspecified"
F66,Psychological and behavioural disorders associated with sexual development and orientation
F66.0,"Sexual maturation disorder Definition The patient suffers from uncertainty about his or her gender identity or sexual orientation, which causes anxiety or depression. Most commonly this occurs in adolescents who are not certain whether they are homosexual, heterosexual or bisexual in orientation, or in individuals who, after a period of apparently stable sexual orientation (often within a longstanding relationship), find that their sexual orientation is changing."
F66.1,"Egodystonic sexual orientation Definition The gender identity or sexual preference (heterosexual, homosexual, bisexual, or prepubertal) is not in doubt, but the individual wishes it were different because of associated psychological and behavioural disorders, and may seek treatment in order to change it."
F66.2,"Sexual relationship disorder Definition The gender identity or sexual orientation (heterosexual, homosexual, or bisexual) is responsible for difficulties in forming or maintaining a relationship with a sexual partner."
F66.8,Other psychosexual development disorders
F66.9,"Psychosexual development disorder, unspecified"
F68,Other disorders of adult personality and behaviour
F68.0,"Elaboration of physical symptoms for psychological reasons Definition Physical symptoms compatible with and originally due to a confirmed physical disorder, disease or disability become exaggerated or prolonged due to the psychological state of the patient. The patient is commonly distressed by this pain or disability, and is often preoccupied with worries, which may be justified, of the possibility of prolonged or progressive disability or pain."
F68.1,"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder] Definition The patient feigns symptoms repeatedly for no obvious reason and may even inflict self-harm in order to produce symptoms or signs. The motivation is obscure and presumably internal with the aim of adopting the sick role. The disorder is often combined with marked disorders of personality and relationships."
F68.8,Other specified disorders of adult personality and behaviour
F69,Unspecified disorder of adult personality and behaviour
F70-,ICD-10 Version
F70,"Mild mental retardation Modifier-Hint [See before F70 for subdivisions] Definition Approximate IQ range of 50 to 69 (in adults, mental age from 9 to under 12 years). Likely to result in some learning difficulties in school. Many adults will be able to work and maintain good social relationships and contribute to society."
F71,"Moderate mental retardation Modifier-Hint [See before F70 for subdivisions] Definition Approximate IQ range of 35 to 49 (in adults, mental age from 6 to under 9 years). Likely to result in marked developmental delays in childhood but most can learn to develop some degree of independence in self-care and acquire adequate communication and academic skills. Adults will need varying degrees of support to live and work in the community."
F72,"Severe mental retardation Modifier-Hint [See before F70 for subdivisions] Definition Approximate IQ range of 20 to 34 (in adults, mental age from 3 to under 6 years). Likely to result in continuous need of support."
